sex,length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
0.0,91.0,73.0,19.0,102.8,44.9,20.2,30.0,15.0
0.0,70.0,53.0,18.0,incons,19.9,9.7,14.0,7.0
1.0,106.0,84.0,27.0,135.4,51.3,28.3,42.0,9.0
0.0,88.0,73.0,incons,103.2,43.1,22.8,-80.625,10.0
3.0,66.0,51.0,16.0,41.0,17.9,7.9,11.0,7.0
,85.0,60.0,19.0,70.3,28.2,15.5,24.0,-55.75
incons,106.0,83.0,30.0,155.5,incons,28.3,66.0,20.0
1.0,109.0,85.0,25.0,153.6,58.8,29.9,,16.0
0.0,95.0,74.0,25.0,101.9,43.3,22.5,33.0,9.0
1.0,110.0,88.0,30.0,178.9,62.9,30.2,64.0,19.0
1.0,105.0,76.0,28.0,121.3,38.8,29.5,42.0,14.0
-63.0,86.0,70.0,22.0,81.2,33.5,16.2,27.0,10.0
0.0,98.0,76.0,27.0,108.3,43.5,19.0,38.0,11.0
1.0,107.0,81.0,29.0,136.9,54.5,34.2,41.0,10.0
1.0,94.0,71.0,20.0,95.1,33.5,16.1,37.0,10.0
0.0,100.0,-59.5,,132.9,51.6,26.6,48.0,12.0
155.0,71.0,56.0,17.0,58.1,19.0,7.9,23.0,incons
1.0,88.0,68.0,20.0,,37.6,,26.0,10.0
incons,73.0,59.0,16.0,51.1,19.4,8.6,20.0,7.0
155.0,90.0,64.0,20.0,76.2,-49.55000000000001,15.0,,incons
0.0,71.0,56.0,19.0,49.1,19.1,12.4,,11.0
3.0,76.0,55.0,20.0,incons,16.0,9.8,17.0,10.0
1.0,113.0,88.0,31.0,187.9,85.5,42.8,54.0,12.0
1.0,incons,83.0,27.0,152.7,63.6,42.0,40.0,9.0
1.0,123.0,96.0,33.0,232.3,102.6,60.2,61.0,10.0
1.0,112.0,88.0,28.0,185.7,76.5,37.6,60.0,incons
1.0,116.0,90.0,37.0,199.1,78.9,54.4,57.0,11.0
,118.0,89.0,28.0,186.2,71.2,incons,56.0,12.0
-63.0,121.0,95.0,36.0,incons,78.8,43.8,59.0,-55.75
0.0,115.0,85.0,28.0,172.7,78.6,45.4,incons,11.0
0.0,116.0,94.0,33.0,199.5,78.7,48.4,66.0,10.0
1.0,136.0,112.0,33.0,327.8,130.25,56.1,92.0,-55.75
0.0,133.0,105.0,33.0,91.65,110.3,71.5,,18.0
1.0,136.0,110.0,incons,359.6,163.0,78.5,91.0,19.0
1.0,141.0,,40.0,341.9,126.6,82.3,98.0,13.0
-63.0,93.0,71.0,,95.9,45.4,24.8,25.0,8.0
1.0,108.0,95.0,31.0,243.4,106.1,61.5,68.0,16.0
1.0,99.20000000000002,71.0,21.0,104.5,47.4,23.3,29.0,-55.75
1.0,115.0,89.0,-85.5,176.6,76.2,40.7,52.0,152.25
0.0,71.0,58.0,18.0,65.5,26.8,-54.750000000000014,18.0,9.0
1.0,90.0,67.0,21.0,85.0,37.3,18.2,23.0,9.0
1.0,110.0,85.0,27.0,170.3,72.4,39.2,54.0,incons
3.0,48.0,35.0,9.0,14.0,6.3,4.7,4.0,5.0
-63.0,41.0,30.0,11.0,8.4,5.1,3.0,2.4,5.0
3.0,42.0,30.0,10.0,91.65,3.5,2.5,3.0,incons
3.0,78.0,59.0,19.0,40.6,17.5,,15.0,-55.75
0.0,94.0,74.0,24.0,115.9,incons,incons,28.0,9.0
1.0,92.0,-59.5,24.0,92.1,35.5,22.0,30.0,7.0
,65.0,49.0,14.0,32.2,15.1,5.1,9.0,6.0
1.0,,,32.0,167.1,130.25,42.7,-80.625,9.0
3.0,104.0,-59.5,24.0,119.0,47.7,22.2,38.0,8.0
0.0,80.0,64.0,19.0,60.6,26.7,12.0,20.0,152.25
0.0,97.0,72.0,incons,108.3,51.9,19.2,32.0,10.0
1.0,94.0,72.0,-85.5,91.65,42.1,21.1,30.0,10.0
0.0,81.0,62.0,20.0,,34.6,18.3,22.0,7.0
1.0,100.0,80.0,28.0,132.3,51.3,35.1,44.0,8.0
0.0,89.0,70.0,24.0,88.5,38.4,19.1,27.0,8.0
0.0,94.0,77.0,27.0,117.9,55.3,,34.0,8.0
3.0,49.0,38.0,12.0,17.2,8.4,2.8,5.0,4.0
1.0,101.0,80.0,25.0,116.6,49.2,26.0,35.0,7.0
0.0,90.0,69.0,168.5,82.3,36.0,22.5,27.0,7.0
0.0,101.0,81.0,22.0,125.0,61.0,32.0,incons,9.0
1.0,106.0,82.0,-85.5,139.3,60.4,38.7,40.0,-55.75
0.0,85.0,65.0,19.0,75.7,34.1,,20.0,7.0
0.0,104.0,80.0,24.0,116.0,46.8,26.3,37.0,8.0
0.0,95.0,71.0,24.0,96.0,46.8,20.3,27.0,8.0
1.0,113.0,170.5,32.0,183.0,70.8,38.7,,12.0
1.0,119.0,99.0,37.0,,83.2,44.8,97.0,13.0
1.0,95.0,incons,24.0,106.1,42.7,23.1,194.375,incons
3.0,62.0,47.0,incons,30.2,-49.55000000000001,8.1,9.0,6.0
0.0,111.0,85.0,26.0,153.3,52.8,incons,55.0,13.0
1.0,,64.0,22.0,70.6,,19.7,20.0,8.0
1.0,119.0,95.0,34.0,249.4,96.0,45.0,incons,
0.0,114.0,96.0,-85.5,237.0,94.8,52.2,76.0,11.0
1.0,121.0,,39.0,219.6,96.2,,63.0,13.0
1.0,,95.0,incons,201.5,88.5,incons,56.0,
0.0,,95.0,-85.5,188.8,72.5,37.8,63.0,152.25
incons,120.0,94.0,,184.4,72.6,38.8,61.0,10.0
1.0,111.0,85.0,28.0,157.6,56.4,-54.750000000000014,57.0,11.0
1.0,-44.400000000000006,95.0,34.0,220.5,93.9,incons,69.0,14.0
1.0,115.0,89.0,28.0,188.2,76.9,50.4,57.0,9.0
0.0,124.0,102.0,35.0,323.0,102.1,38.4,135.0,12.0
1.0,104.0,85.0,33.0,197.7,79.2,45.0,64.0,-55.75
0.0,,95.0,32.0,263.5,81.6,46.8,116.0,21.0
0.0,116.0,170.5,28.0,202.6,76.0,43.2,72.0,14.0
1.0,114.0,93.0,36.0,259.0,67.8,44.5,88.0,12.0
0.0,125.0,93.0,28.0,239.0,96.5,41.0,80.0,13.0
0.0,112.0,88.0,32.0,172.9,66.1,41.5,194.375,10.0
1.0,92.0,71.0,26.0,103.4,44.1,,33.0,9.0
1.0,115.0,90.0,incons,195.5,,46.2,66.0,12.0
,113.0,85.0,27.0,162.3,68.2,33.5,51.0,15.0
0.0,111.0,88.0,30.0,151.0,61.4,,52.0,12.0
incons,119.0,93.0,168.5,91.65,80.3,50.8,78.0,13.0
incons,125.0,99.0,33.0,252.4,101.4,63.6,78.0,10.0
0.0,139.0,112.0,38.0,298.8,117.6,-54.750000000000014,97.0,15.0
0.0,133.0,107.0,incons,321.2,115.1,-54.750000000000014,96.0,14.0
155.0,107.0,87.0,168.5,145.0,53.8,166.05,50.0,9.0
0.0,94.0,75.0,26.0,104.6,42.8,26.4,29.0,8.0
0.0,94.0,74.0,26.0,104.5,40.2,26.6,33.0,7.0
1.0,,75.0,25.0,115.7,,17.0,31.0,10.0
3.0,,53.0,19.0,46.3,21.0,9.2,15.0,7.0
0.0,110.0,87.0,29.0,168.6,65.6,38.3,51.0,15.0
0.0,106.0,87.0,32.0,incons,63.2,32.8,67.0,15.0
0.0,106.0,incons,28.0,144.8,62.1,33.5,41.0,10.0
0.0,121.0,94.0,32.0,91.65,99.5,166.05,69.0,12.0
1.0,,82.0,31.0,145.4,incons,36.7,47.0,12.0
1.0,incons,86.0,33.0,,58.7,36.6,,11.0
1.0,100.0,,25.0,133.5,52.2,26.3,44.0,10.0
1.0,102.0,incons,27.0,126.7,46.2,35.8,,9.0
1.0,87.0,79.0,21.0,72.7,27.2,19.6,26.0,9.0
incons,99.0,79.0,25.0,108.3,47.5,26.9,31.0,incons
0.0,incons,72.0,21.0,86.2,34.4,21.4,35.0,9.0
3.0,87.0,64.0,16.0,66.5,29.7,12.7,21.0,9.0
0.0,85.0,70.0,21.0,78.6,26.0,12.6,incons,9.0
1.0,109.0,82.0,25.0,138.7,59.5,29.2,42.0,11.0
1.0,106.0,83.0,23.0,-42.75000000000001,46.6,31.7,36.0,11.0
1.0,98.0,incons,27.0,122.5,51.1,20.4,44.0,11.0
0.0,88.0,68.0,incons,80.4,incons,,33.0,10.0
1.0,112.0,incons,30.0,176.5,69.3,34.4,62.0,9.0
0.0,81.0,61.0,17.0,52.1,22.9,11.9,17.0,8.0
1.0,94.0,73.0,-53.500000000000014,,32.6,20.7,28.0,9.0
3.0,77.0,59.0,17.0,50.7,20.6,11.5,incons,7.0
1.0,103.0,85.0,168.5,153.2,60.8,34.5,51.0,14.0
0.0,74.0,170.5,15.0,,18.0,-54.750000000000014,14.0,6.0
3.0,72.0,56.0,16.0,,16.2,10.1,14.0,6.0
3.0,54.0,incons,12.0,14.6,5.7,4.7,incons,5.0
3.0,75.0,55.0,incons,47.6,21.5,10.9,incons,6.0
3.0,77.0,58.0,17.0,50.1,22.4,12.2,16.0,152.25
0.0,140.0,107.0,incons,345.1,126.0,52.7,108.0,19.0
0.0,142.0,108.0,33.0,391.8,153.3,52.2,156.0,18.0
0.0,-44.400000000000006,96.0,33.0,252.4,96.7,56.6,,17.0
1.0,88.0,70.0,25.0,80.7,35.0,12.6,25.8,9.0
1.0,65.0,52.0,18.0,-42.75000000000001,17.0,7.2,incons,7.0
3.0,70.0,52.0,19.0,42.2,17.2,11.2,13.6,7.0
3.0,53.0,40.0,13.0,19.5,-49.55000000000001,4.1,5.6,7.0
1.0,85.0,66.0,23.0,81.2,32.7,16.2,27.1,8.0
1.0,61.0,,16.0,31.2,13.5,6.9,9.6,7.0
0.0,,51.0,18.0,40.1,18.8,5.9,12.6,9.0
1.0,,65.0,22.0,71.1,30.2,12.6,23.4,9.0
0.0,75.0,57.0,19.0,50.6,19.2,11.5,18.5,9.0
1.0,113.0,89.0,31.0,165.2,68.2,41.1,49.5,10.0
1.0,110.0,90.0,29.0,148.2,59.0,28.7,53.3,10.0
0.0,130.0,104.0,38.0,268.9,103.8,61.2,incons,16.0
0.0,112.0,91.0,31.0,159.4,68.0,38.0,48.5,
0.0,,75.0,26.0,103.5,41.5,23.3,34.0,10.0
-63.0,98.0,,25.0,incons,-49.55000000000001,21.5,34.8,10.0
0.0,92.0,70.0,24.0,103.0,44.8,21.6,31.3,incons
,incons,,16.0,,10.4,7.8,8.4,
3.0,35.0,26.0,11.0,6.3,2.1,1.3,2.5,5.0
incons,34.0,26.0,19.0,6.0,incons,incons,2.0,4.0
0.0,118.0,,,-42.75000000000001,-49.55000000000001,,65.0,15.0
incons,121.0,100.0,37.0,223.7,130.25,51.7,67.0,9.0
1.0,127.0,103.0,38.0,-42.75000000000001,101.3,61.0,90.0,10.0
1.0,121.0,97.0,32.0,211.3,74.0,47.1,71.0,10.0
1.0,113.0,90.0,27.0,197.7,77.4,29.9,62.0,12.0
0.0,103.0,81.0,26.0,144.4,64.0,26.2,42.0,10.0
1.0,-44.400000000000006,92.0,38.0,198.8,78.4,,-80.625,13.0
0.0,,97.0,43.0,incons,109.2,52.3,127.0,16.0
1.0,116.0,91.0,34.0,181.5,,42.7,57.0,13.0
1.0,115.0,92.0,33.0,224.8,59.7,35.7,incons,13.0
0.0,121.0,,33.0,incons,84.3,49.5,68.0,13.0
1.0,121.0,97.0,32.0,244.4,106.0,51.5,56.0,13.0
0.0,incons,97.0,35.0,248.9,108.8,59.4,69.0,12.0
1.0,145.0,112.0,42.0,428.2,,-54.750000000000014,201.0,18.0
1.0,130.0,109.0,incons,-42.75000000000001,112.1,57.9,163.0,152.25
155.0,145.0,114.0,38.0,510.0,214.1,96.6,145.0,14.0
incons,incons,115.0,35.0,424.8,153.0,,-80.625,20.0
1.0,136.0,114.0,41.0,368.4,125.0,81.6,130.0,20.0
0.0,141.0,112.0,44.0,396.2,163.5,61.7,152.0,14.0
1.0,136.0,103.0,35.0,323.7,102.5,81.8,124.0,12.0
0.0,139.0,110.0,43.0,391.3,142.5,108.2,118.0,14.0
1.0,106.0,79.0,29.0,155.0,61.6,33.8,51.0,7.0
0.0,105.0,-59.5,31.0,213.0,97.2,46.6,57.0,8.0
1.0,104.0,81.0,incons,incons,64.0,36.9,44.0,8.0
3.0,47.0,32.0,8.0,9.6,3.7,incons,3.0,5.0
3.0,72.0,52.0,18.0,,12.9,7.4,194.375,7.0
3.0,63.0,42.0,12.0,25.0,12.0,7.5,incons,5.0
-63.0,63.0,49.0,17.0,28.7,,9.5,10.0,8.0
3.0,45.0,32.0,9.0,,5.0,3.0,,4.0
0.0,116.0,95.0,30.0,194.0,77.0,43.3,70.0,11.0
0.0,114.0,96.0,36.0,187.9,79.8,40.0,59.0,14.0
0.0,128.0,incons,35.0,273.6,103.0,53.2,114.0,21.0
-63.0,112.0,90.0,32.0,204.7,85.8,53.6,60.0,10.0
1.0,124.0,95.0,35.0,203.3,87.1,42.8,65.0,10.0
1.0,129.0,102.0,40.0,313.5,130.25,,92.0,12.0
0.0,124.0,98.0,168.5,243.6,109.1,59.3,71.0,13.0
1.0,,96.0,30.0,210.5,78.4,67.2,57.0,12.0
1.0,126.0,100.0,37.0,276.6,108.0,66.3,76.0,10.0
155.0,126.0,96.0,32.0,239.8,105.3,67.0,63.0,11.0
incons,117.0,92.0,34.0,186.5,73.0,54.2,58.0,9.0
0.0,123.0,96.0,36.0,231.9,96.9,43.3,194.375,13.0
0.0,122.0,97.0,incons,204.5,83.8,48.1,incons,12.0
0.0,99.20000000000002,90.0,incons,185.4,55.2,36.3,72.0,14.0
3.0,71.0,55.0,17.0,44.0,18.4,12.0,30.0,8.0
1.0,102.0,170.5,28.0,162.9,91.8,39.3,194.375,10.0
0.0,100.0,81.0,31.0,154.4,,30.7,,12.0
1.0,101.0,82.0,30.0,,57.0,29.0,,incons
0.0,128.0,100.0,37.0,260.7,88.9,52.7,93.0,16.0
0.0,incons,90.0,32.0,184.4,86.4,35.6,52.0,15.0
0.0,117.0,92.0,37.0,184.4,,42.6,57.0,10.0
1.0,90.0,,incons,83.3,33.1,19.0,27.0,9.0
0.0,100.0,80.0,33.0,165.0,50.8,41.0,57.0,13.0
1.0,100.0,80.0,29.0,91.65,46.8,29.3,46.0,12.0
1.0,106.0,87.0,34.0,incons,59.7,31.0,55.0,13.0
0.0,-44.400000000000006,,23.0,73.8,34.2,14.2,24.0,8.0
1.0,88.0,68.0,28.0,96.4,,21.7,32.0,9.0
3.0,incons,60.0,,63.0,21.8,13.4,24.0,9.0
3.0,87.0,,22.0,75.9,29.9,17.0,incons,-55.75
,105.0,incons,34.0,166.5,-49.55000000000001,33.7,62.0,13.0
155.0,74.0,56.0,19.0,53.1,24.4,incons,16.0,
1.0,98.0,73.0,29.0,126.9,39.9,32.5,44.0,
0.0,67.0,50.0,18.0,36.2,15.1,8.3,12.0,7.0
1.0,83.0,65.0,168.5,76.0,31.9,15.7,24.0,12.0
,100.0,-59.5,28.0,,48.2,27.1,41.0,9.0
1.0,97.0,79.0,,132.0,incons,25.6,47.0,14.0
0.0,110.0,81.0,28.0,91.65,48.8,32.7,51.0,10.0
0.0,90.0,70.0,26.0,92.0,34.8,22.2,27.0,8.0
3.0,81.0,60.0,24.0,incons,25.3,14.0,22.0,7.0
0.0,94.0,72.0,27.0,100.2,33.3,incons,33.0,10.0
1.0,83.0,incons,26.0,64.0,26.1,15.1,21.0,8.0
1.0,89.0,65.0,25.0,91.0,35.7,22.5,28.0,9.0
1.0,94.0,70.0,29.0,103.5,37.4,24.7,36.0,11.0
,98.0,75.0,30.0,115.1,44.0,28.8,38.0,9.0
1.0,89.0,71.0,30.0,97.0,36.2,25.0,31.0,11.0
,85.0,76.0,21.0,65.3,25.7,15.7,20.0,10.0
1.0,100.0,incons,27.0,90.0,34.3,21.1,31.0,9.0
1.0,78.0,58.0,25.0,61.1,24.2,-54.750000000000014,18.0,7.0
3.0,incons,54.0,17.0,41.0,15.6,9.7,14.0,7.0
1.0,116.0,93.0,33.0,220.3,80.8,41.9,70.0,11.0
1.0,106.0,83.0,168.5,156.6,58.7,31.6,49.0,15.0
155.0,111.0,incons,27.0,167.2,67.2,32.5,55.0,13.0
0.0,113.0,88.0,incons,180.5,62.0,38.6,65.0,14.0
0.0,125.0,101.0,43.0,289.1,incons,57.4,87.0,22.0
,55.0,43.0,15.0,23.1,9.7,,incons,7.0
3.0,88.0,70.0,27.0,87.0,36.3,16.6,25.0,12.0
3.0,59.0,45.0,16.0,24.8,9.7,6.4,8.0,9.0
3.0,15.0,11.0,2.0,0.4,,0.1,,1.0
3.0,-44.400000000000006,20.0,6.0,2.6,0.9,0.6,0.8,incons
3.0,22.0,18.0,6.0,1.6,,0.4,0.6,incons
3.0,incons,24.0,7.0,4.2,1.5,0.9,1.0,5.0
0.0,113.0,85.0,32.0,188.5,69.9,166.05,55.0,17.0
3.0,54.0,40.0,14.0,20.0,6.8,4.9,incons,5.0
3.0,46.0,35.0,13.0,12.9,5.2,2.1,4.0,5.0
3.0,60.0,46.0,16.0,25.5,8.7,5.3,8.0,8.0
3.0,66.0,51.0,17.0,,12.6,7.8,12.0,8.0
3.0,70.0,52.0,17.0,34.8,14.1,6.9,12.0,10.0
incons,64.0,49.0,16.0,,12.7,6.5,10.0,13.0
3.0,72.0,55.0,17.0,39.5,14.9,8.3,14.0,9.0
3.0,61.0,49.0,,31.2,13.5,7.6,9.0,7.0
3.0,incons,54.0,22.0,,16.4,10.9,14.0,7.0
3.0,66.0,50.0,21.0,34.3,13.1,,12.0,7.0
0.0,118.0,incons,36.0,224.7,84.1,56.1,72.0,-55.75
,119.0,91.0,31.0,incons,102.7,43.3,60.0,12.0
1.0,115.0,92.0,incons,-42.75000000000001,89.7,43.4,69.0,15.0
0.0,120.0,99.0,33.0,248.3,97.0,55.5,68.0,15.0
0.0,112.0,90.0,35.0,202.2,76.7,41.3,74.0,15.0
0.0,112.0,90.0,37.0,incons,76.1,35.0,82.0,19.0
0.0,109.0,92.0,incons,,68.2,33.1,incons,10.0
1.0,127.0,101.0,34.0,283.0,121.0,incons,73.0,15.0
1.0,118.0,95.0,32.0,220.3,95.5,51.1,59.0,13.0
1.0,108.0,95.0,31.0,185.6,78.8,38.8,52.0,-55.75
1.0,114.0,88.0,25.0,173.0,73.5,34.5,54.0,12.0
,106.0,84.0,33.0,178.9,130.25,47.8,49.0,11.0
incons,49.0,-59.5,12.0,19.0,8.9,4.9,5.2,
0.0,54.0,-59.5,-85.5,24.1,9.3,5.6,8.0,6.0
1.0,92.0,76.0,26.0,127.8,60.0,30.5,32.0,11.0
0.0,104.0,90.0,30.0,179.0,,37.2,47.0,14.0
,70.0,55.0,22.0,58.5,24.5,12.7,18.1,8.0
0.0,94.0,,30.0,127.1,43.7,17.7,51.0,9.0
-63.0,90.0,incons,25.0,99.9,40.7,20.0,34.0,152.25
1.0,128.0,105.0,43.0,355.8,90.7,57.1,110.0,22.0
0.0,118.0,100.0,40.0,237.4,,54.1,74.0,16.0
0.0,124.0,97.0,41.0,243.8,77.5,50.1,77.0,14.0
0.0,126.0,101.0,45.0,305.0,112.0,66.7,90.0,15.0
0.0,126.0,103.0,31.0,-42.75000000000001,82.1,39.4,,13.0
0.0,131.0,108.0,43.0,368.8,148.5,65.4,117.0,22.0
1.0,132.0,106.0,,269.7,98.6,49.0,98.0,12.0
0.0,122.0,incons,48.0,328.4,106.4,66.9,138.0,18.0
0.0,,105.0,41.0,296.8,,62.3,194.375,20.0
1.0,103.0,85.0,27.0,142.4,53.3,32.1,50.0,11.0
155.0,107.0,83.0,37.0,168.3,62.8,31.7,60.0,15.0
3.0,72.0,57.0,incons,48.3,18.3,11.4,15.0,7.0
1.0,91.0,71.0,24.0,89.9,35.4,20.8,30.0,9.0
0.0,97.0,79.0,28.0,125.9,45.7,25.4,45.0,14.0
0.0,103.0,76.0,35.0,191.3,130.25,31.6,-80.625,14.0
,107.0,83.0,34.0,incons,59.0,39.3,57.0,10.0
0.0,incons,87.0,,139.8,57.6,31.9,41.0,10.0
1.0,99.0,80.0,31.0,,48.4,166.05,incons,17.0
0.0,88.0,71.0,incons,95.5,26.4,16.3,38.0,9.0
1.0,107.0,87.0,32.0,incons,incons,35.9,48.0,10.0
0.0,99.20000000000002,87.0,,199.2,76.7,45.2,65.0,17.0
1.0,113.0,101.0,42.0,255.3,incons,55.8,incons,12.0
0.0,122.0,95.0,33.0,223.2,85.6,44.1,63.0,15.0
incons,113.0,91.0,35.0,202.6,68.4,41.4,70.0,incons
0.0,120.0,99.0,39.0,211.5,76.8,38.0,75.0,incons
3.0,,43.0,17.0,25.6,9.8,6.8,8.0,6.0
3.0,55.0,41.0,15.0,22.1,-49.55000000000001,5.7,7.0,6.0
3.0,56.0,42.0,17.0,-42.75000000000001,7.8,5.9,6.0,4.0
incons,98.0,,28.0,109.8,44.3,166.05,,11.0
0.0,74.0,56.0,21.0,46.8,18.1,11.7,15.0,9.0
155.0,-44.400000000000006,61.0,incons,69.7,29.1,17.9,20.0,9.0
155.0,108.0,87.0,35.0,178.4,64.4,34.8,67.0,
incons,74.0,56.0,20.0,,21.3,11.9,14.8,8.0
0.0,72.0,54.0,20.0,43.4,17.7,9.9,14.3,6.0
1.0,incons,72.0,168.5,94.4,-49.55000000000001,,194.375,10.0
3.0,40.0,29.0,12.0,7.4,130.25,1.9,2.2,4.0
3.0,33.0,24.0,6.0,4.3,1.4,1.0,,3.0
0.0,129.0,103.0,48.0,308.3,94.2,73.8,107.0,13.0
0.0,110.0,incons,incons,152.1,50.1,,39.0,14.0
0.0,114.0,87.0,,181.1,78.5,47.1,55.0,10.0
155.0,126.0,97.0,38.0,248.7,92.7,,incons,21.0
0.0,112.0,170.5,28.0,194.2,88.6,40.9,53.0,14.0
0.0,incons,170.5,incons,266.1,-49.55000000000001,64.7,69.0,19.0
1.0,124.0,94.0,40.0,245.1,76.2,54.0,87.0,23.0
0.0,-44.400000000000006,97.0,35.0,260.0,86.7,58.9,-80.625,23.0
3.0,90.0,71.0,22.0,91.7,incons,13.4,28.0,8.0
-63.0,127.0,107.0,38.0,248.4,115.2,49.5,78.0,14.0
0.0,90.0,70.0,20.0,73.5,29.3,20.3,24.0,10.0
1.0,116.0,91.0,31.0,167.3,63.0,27.7,64.0,18.0
3.0,66.0,51.0,19.0,34.4,13.2,5.1,12.0,
3.0,53.0,42.0,incons,19.3,8.5,4.4,incons,5.0
3.0,38.0,incons,8.0,7.6,3.3,1.3,3.0,4.0
incons,77.0,62.0,20.0,56.9,21.3,15.0,20.0,11.0
155.0,53.0,41.0,14.0,21.1,7.8,8.2,7.0,5.0
0.0,67.0,53.0,21.0,44.4,,11.2,15.0,7.0
3.0,71.0,55.0,18.0,50.2,19.4,,16.0,7.0
3.0,-44.400000000000006,51.0,20.0,35.1,14.6,8.3,13.0,-55.75
0.0,102.0,80.0,incons,128.7,54.0,33.3,41.0,12.0
0.0,72.0,59.0,21.0,48.2,incons,10.6,incons,8.0
3.0,72.0,56.0,18.0,45.1,17.7,8.0,18.0,8.0
0.0,100.0,76.0,31.0,119.1,42.7,32.2,40.0,12.0
1.0,80.0,65.0,24.0,63.7,26.8,11.3,19.0,8.0
3.0,60.0,44.0,16.0,24.2,9.5,8.4,7.0,incons
3.0,47.0,35.0,8.0,14.1,130.25,3.0,4.0,5.0
