sex,length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
1.0,148.0,120.0,39.0,394.8,119.6,81.7,142.0,16.0
0.0,124.0,incons,38.0,incons,114.1,incons,71.0,11.0
155.0,120.0,95.0,38.0,217.5,80.6,53.1,65.0,14.0
0.0,118.0,90.0,37.0,256.6,,55.2,85.0,16.0
0.0,124.0,95.0,37.0,265.0,120.9,65.0,66.0,13.0
1.0,113.0,incons,39.0,200.7,incons,50.1,57.0,-55.75
0.0,115.0,91.0,29.0,incons,130.25,45.5,60.0,14.0
1.0,124.0,,41.0,269.5,95.5,51.3,96.0,14.0
0.0,124.0,93.0,37.0,254.8,115.8,61.3,,12.0
1.0,101.0,75.0,incons,incons,46.5,29.9,,12.0
1.0,92.0,85.0,31.0,incons,60.1,30.4,48.0,8.0
0.0,incons,78.0,28.0,,55.9,43.7,36.0,13.0
1.0,105.0,84.0,32.0,151.2,54.9,34.6,55.0,
3.0,68.0,52.0,16.0,40.0,16.0,incons,11.0,6.0
3.0,75.0,61.0,23.0,54.3,18.4,14.8,18.0,8.0
0.0,122.0,96.0,30.0,240.0,130.25,49.1,56.0,14.0
1.0,122.0,99.0,37.0,incons,107.2,58.1,49.0,8.0
incons,117.0,,-85.5,173.7,66.5,32.7,54.0,22.0
0.0,,92.0,28.0,190.7,,41.3,49.0,12.0
0.0,116.0,91.0,34.0,186.0,81.6,51.8,44.0,
0.0,127.0,103.0,34.0,255.0,101.8,57.2,68.0,16.0
0.0,140.0,116.0,41.0,426.0,148.3,98.0,-80.625,20.0
0.0,135.0,105.0,37.0,317.4,138.7,67.2,79.0,13.0
1.0,-44.400000000000006,105.0,38.0,,140.7,77.7,79.0,18.0
0.0,149.0,117.0,43.0,499.8,185.3,,140.0,17.0
1.0,137.0,incons,-85.5,353.6,149.9,78.4,,16.0
0.0,121.0,98.0,,245.4,96.0,57.4,70.0,18.0
,118.0,93.0,30.0,199.4,78.4,49.2,-80.625,12.0
1.0,130.0,105.0,35.0,284.5,122.0,59.9,89.0,incons
1.0,99.20000000000002,96.0,30.0,205.8,incons,54.1,59.0,16.0
incons,124.0,incons,35.0,incons,incons,60.3,70.0,12.0
0.0,126.0,103.0,32.0,203.2,84.3,48.8,71.0,19.0
0.0,incons,93.0,29.0,177.4,88.1,33.1,53.0,11.0
1.0,116.0,91.0,24.0,214.7,95.8,54.7,53.0,10.0
0.0,126.0,98.0,36.0,226.0,91.6,55.3,63.0,12.0
1.0,138.0,112.0,43.0,343.8,136.0,59.8,94.0,17.0
1.0,130.0,109.0,33.0,313.2,132.9,69.1,83.0,16.0
1.0,132.0,113.0,39.0,91.65,138.4,65.3,,16.0
1.0,136.0,116.0,40.0,357.4,117.0,90.6,120.0,19.0
1.0,140.0,incons,34.0,91.65,101.9,-54.750000000000014,84.0,14.0
0.0,137.0,incons,30.0,-42.75000000000001,incons,58.4,80.0,13.0
1.0,135.0,109.0,39.0,346.9,136.9,73.9,121.0,20.0
0.0,126.0,98.0,38.0,235.5,98.7,67.3,57.0,-55.75
1.0,117.0,90.0,32.0,215.4,99.9,57.5,194.375,10.0
0.0,113.0,93.0,35.0,199.0,77.9,36.6,74.0,15.0
1.0,122.0,99.0,37.0,221.7,74.1,62.7,66.0,12.0
0.0,121.0,94.0,36.0,228.1,-49.55000000000001,56.1,77.0,152.25
0.0,107.0,84.0,29.0,158.2,66.0,37.8,50.0,10.0
0.0,97.0,80.0,incons,132.6,62.6,27.4,40.0,10.0
0.0,94.0,75.0,24.0,111.3,45.2,166.05,,12.0
0.0,109.0,85.0,27.0,168.9,74.6,42.0,47.0,10.0
1.0,91.0,74.0,21.0,98.5,43.2,24.9,27.0,9.0
0.0,108.0,84.0,31.0,147.7,70.3,30.4,43.0,incons
0.0,92.0,76.0,27.0,96.4,41.4,166.05,29.0,10.0
0.0,98.0,incons,25.0,121.8,47.8,28.7,44.0,14.0
3.0,-44.400000000000006,75.0,24.0,94.2,44.4,23.8,28.0,9.0
3.0,,65.0,20.0,64.3,30.7,11.9,21.0,10.0
0.0,95.0,75.0,25.0,118.6,55.4,23.0,36.0,10.0
1.0,94.0,75.0,25.0,112.3,incons,incons,36.0,10.0
incons,73.0,59.0,19.0,50.0,21.5,10.9,16.0,9.0
3.0,69.0,55.0,19.0,39.9,15.1,10.7,14.0,6.0
3.0,incons,,20.0,,23.2,12.8,23.0,11.0
1.0,100.0,-59.5,28.0,143.1,63.3,35.2,48.0,10.0
0.0,94.0,76.0,29.0,117.3,47.7,28.8,37.0,8.0
0.0,107.0,88.0,30.0,incons,51.2,27.8,52.0,12.0
0.0,117.0,-59.5,30.0,,87.1,41.5,62.0,11.0
1.0,97.0,73.0,24.0,,54.0,26.2,35.0,9.0
0.0,103.0,91.0,27.0,144.5,59.0,32.5,47.0,9.0
,87.0,65.0,22.0,86.7,35.6,19.7,31.0,7.0
1.0,103.0,83.0,28.0,138.7,62.3,30.4,40.0,
155.0,88.0,69.0,24.0,73.0,33.1,16.6,incons,7.0
1.0,105.0,88.0,30.0,168.5,73.7,39.7,48.0,12.0
0.0,90.0,71.0,incons,95.8,42.5,20.9,30.0,8.0
0.0,118.0,97.0,24.0,182.2,78.0,166.05,-80.625,16.0
,,90.0,incons,183.0,80.0,49.2,57.0,152.25
-63.0,114.0,,19.0,165.4,67.9,44.3,47.0,8.0
0.0,incons,100.0,,220.9,91.3,48.5,68.0,incons
0.0,117.0,95.0,24.0,189.0,82.0,42.3,56.0,14.0
1.0,116.0,92.0,24.0,198.7,92.5,47.7,,11.0
,109.0,88.0,,incons,69.5,34.3,48.0,12.0
1.0,121.0,99.0,incons,247.7,105.6,49.3,78.0,14.0
1.0,124.0,94.0,28.0,incons,72.1,44.8,72.0,15.0
1.0,126.0,100.0,34.0,262.7,111.9,53.4,80.0,20.0
0.0,-44.400000000000006,170.5,33.0,270.4,97.6,69.8,90.0,152.25
1.0,126.0,100.0,incons,201.0,73.4,39.8,72.0,16.0
0.0,109.0,82.0,28.0,125.0,44.6,32.0,,13.0
1.0,134.0,108.0,33.0,300.3,103.6,71.6,101.0,14.0
,98.0,76.0,24.0,105.8,43.3,27.8,31.0,incons
1.0,98.0,78.0,-85.5,-42.75000000000001,49.3,24.6,40.0,13.0
3.0,58.0,45.0,14.0,91.65,7.2,4.7,7.0,8.0
3.0,52.0,40.0,14.0,18.4,7.4,4.0,6.0,6.0
0.0,116.0,90.0,35.0,213.6,85.0,40.6,64.0,13.0
incons,122.0,97.0,33.0,218.3,78.7,48.7,66.0,18.0
-63.0,120.0,100.0,32.0,203.0,79.9,34.7,66.0,19.0
1.0,112.0,incons,25.0,188.6,68.8,25.8,75.0,21.0
1.0,115.0,90.0,34.0,209.5,75.5,34.1,77.0,18.0
155.0,114.0,90.0,35.0,91.65,incons,incons,59.0,18.0
0.0,120.0,94.0,31.0,207.2,87.5,39.2,65.0,20.0
0.0,113.0,91.0,34.0,181.3,68.4,31.2,64.0,18.0
0.0,109.0,84.0,28.0,incons,-49.55000000000001,26.0,51.0,22.0
3.0,88.0,69.0,20.0,73.2,24.4,18.1,,13.0
0.0,100.0,82.0,30.0,,56.3,27.4,44.0,11.0
3.0,72.0,55.0,19.0,43.4,16.8,8.7,18.0,
3.0,77.0,61.0,19.0,50.4,18.3,11.0,18.0,14.0
0.0,78.0,60.0,18.0,61.1,28.6,12.9,17.0,9.0
0.0,,83.0,-85.5,137.7,49.8,27.6,50.0,13.0
3.0,72.0,55.0,22.0,46.7,19.0,10.5,17.0,10.0
3.0,67.0,52.0,20.0,38.4,15.7,11.7,14.0,8.0
1.0,101.0,85.0,28.0,170.0,55.0,32.5,57.0,19.0
3.0,79.0,59.0,20.0,54.3,26.8,,194.375,10.0
1.0,82.0,65.0,21.0,91.65,31.8,15.4,24.0,10.0
incons,112.0,91.0,38.0,142.8,56.6,25.8,incons,
0.0,,87.0,37.0,196.3,65.8,27.2,78.0,13.0
0.0,113.0,91.0,37.0,185.3,incons,31.5,75.0,16.0
0.0,121.0,100.0,35.0,219.6,incons,46.4,75.0,12.0
1.0,113.0,91.0,30.0,164.1,73.0,31.8,52.0,18.0
0.0,145.0,113.0,43.0,378.2,139.5,94.5,116.0,-55.75
1.0,135.0,107.0,32.0,282.0,118.4,63.5,84.0,
1.0,133.0,111.0,39.0,,116.2,70.8,72.0,17.0
,113.0,98.0,31.0,184.9,81.0,43.9,51.0,
1.0,129.0,110.0,incons,91.65,114.0,incons,66.0,-55.75
,incons,94.0,28.0,167.5,69.7,34.7,48.0,11.0
1.0,128.0,108.0,35.0,91.65,102.0,51.8,78.0,
3.0,72.0,56.0,21.0,-42.75000000000001,13.9,9.0,16.0,9.0
3.0,83.0,62.0,22.0,59.3,24.6,11.4,19.9,10.0
1.0,105.0,82.0,27.0,141.7,58.6,30.5,47.0,11.0
incons,76.0,57.0,20.0,53.3,23.0,12.2,15.0,11.0
1.0,117.0,93.0,34.0,198.3,77.3,44.8,53.0,12.0
3.0,48.0,37.0,14.0,14.3,5.2,,5.0,6.0
3.0,44.0,33.0,11.0,-42.75000000000001,4.3,2.4,4.0,5.0
3.0,51.0,-59.5,14.0,14.7,5.1,4.0,5.0,6.0
3.0,35.0,170.5,,91.65,1.6,0.7,1.6,5.0
1.0,134.0,110.0,38.0,91.65,108.5,60.7,80.0,12.0
0.0,131.0,106.0,39.0,,113.4,54.7,82.0,13.0
1.0,136.0,110.0,42.0,348.9,119.5,61.0,incons,17.0
0.0,135.0,,incons,,109.0,53.3,93.0,21.0
-63.0,106.0,,27.0,156.7,62.6,34.3,43.7,9.0
1.0,103.0,81.0,24.0,129.2,57.9,28.1,35.4,incons
3.0,86.0,68.0,24.0,,30.2,12.9,20.9,9.0
1.0,104.0,81.0,24.0,125.4,52.9,28.3,36.2,11.0
1.0,109.0,83.0,32.0,154.3,54.4,29.1,55.3,10.0
0.0,106.0,83.0,incons,,-49.55000000000001,,52.9,17.0
,93.0,70.0,23.0,84.2,31.3,incons,26.9,9.0
0.0,,108.0,35.0,269.4,99.1,50.8,83.0,17.0
,147.0,118.0,45.0,351.2,127.4,68.1,116.0,
0.0,incons,109.0,37.0,91.65,106.1,52.7,91.0,16.0
1.0,140.0,117.0,37.0,361.5,141.1,64.3,95.0,incons
0.0,115.0,80.0,31.0,186.5,72.1,48.9,incons,17.0
0.0,114.0,incons,25.0,169.8,75.7,35.3,48.0,15.0
1.0,116.0,92.0,30.0,incons,85.8,42.4,52.0,incons
0.0,incons,96.0,29.0,202.3,84.7,47.4,incons,12.0
1.0,117.0,93.0,28.0,incons,76.2,32.3,63.0,13.0
0.0,110.0,90.0,26.0,91.65,75.6,,,11.0
,incons,103.0,incons,248.3,104.7,61.3,incons,15.0
0.0,108.0,84.0,27.0,161.5,69.7,35.9,47.0,-55.75
1.0,incons,,33.0,,88.0,43.9,57.0,14.0
incons,118.0,91.0,29.0,214.6,95.0,38.0,57.0,14.0
0.0,116.0,92.0,incons,184.2,71.4,36.2,-80.625,13.0
1.0,131.0,102.0,31.0,257.9,106.9,57.1,82.0,11.0
0.0,,106.0,35.0,252.7,97.2,52.7,83.0,15.0
0.0,125.0,100.0,39.0,273.8,117.5,43.7,incons,17.0
incons,125.0,100.0,30.0,190.6,68.9,44.7,61.0,15.0
1.0,128.0,104.0,35.0,249.6,84.9,51.9,incons,152.25
1.0,incons,97.0,33.0,202.1,87.0,41.8,incons,19.0
,123.0,,31.0,207.7,85.4,46.3,69.0,11.0
0.0,111.0,incons,35.0,incons,65.5,40.4,61.0,10.0
1.0,,88.0,incons,170.8,73.3,32.7,49.0,12.0
1.0,124.0,104.0,168.5,incons,75.6,54.0,79.0,23.0
1.0,124.0,94.0,45.0,,75.6,42.9,72.0,15.0
1.0,120.0,101.0,38.0,,87.7,51.2,72.0,13.0
1.0,125.0,97.0,38.0,234.9,87.7,46.1,84.0,17.0
0.0,120.0,94.0,35.0,221.0,97.3,49.4,63.0,15.0
0.0,112.0,incons,47.0,167.9,66.5,31.4,61.0,12.0
0.0,99.20000000000002,91.0,45.0,211.0,76.3,44.2,73.0,
0.0,112.0,87.0,36.0,177.8,,166.05,50.0,incons
-63.0,112.0,89.0,31.0,174.7,60.1,166.05,55.0,16.0
3.0,136.0,106.0,,221.9,87.8,49.0,68.0,10.0
1.0,91.0,70.0,28.0,103.7,44.2,25.3,27.0,10.0
,98.0,76.0,29.0,91.65,49.8,36.2,42.0,10.0
0.0,62.0,44.0,17.0,29.2,12.2,7.3,9.0,6.0
1.0,55.0,39.0,14.0,16.0,6.2,4.3,5.0,5.0
0.0,54.0,incons,16.0,20.0,7.7,3.9,6.0,6.0
0.0,80.0,58.0,incons,55.9,-49.55000000000001,11.5,15.0,9.0
0.0,56.0,,incons,18.3,6.6,4.3,6.0,5.0
0.0,65.0,46.0,18.0,29.4,12.0,6.8,9.0,
1.0,69.0,50.0,18.0,40.6,15.6,166.05,11.0,6.0
0.0,42.0,30.0,10.0,7.7,3.1,1.7,2.0,-55.75
1.0,72.0,54.0,18.0,37.7,incons,7.7,11.0,5.0
3.0,73.0,52.0,23.0,43.6,18.7,8.9,14.0,9.0
0.0,40.0,28.0,11.0,7.0,2.9,,2.0,5.0
0.0,47.0,32.0,12.0,10.9,5.3,1.9,3.0,4.0
0.0,35.0,25.0,8.0,91.65,1.9,1.2,1.0,4.0
0.0,31.0,22.0,8.0,3.1,1.3,0.6,1.0,3.0
1.0,114.0,89.0,31.0,146.6,56.4,31.8,47.0,14.0
1.0,114.0,90.0,32.0,194.3,79.3,51.0,incons,12.0
155.0,77.0,60.0,19.0,48.0,17.7,11.8,17.0,9.0
3.0,106.0,84.0,37.0,,59.8,31.2,,20.0
incons,99.20000000000002,incons,26.0,-42.75000000000001,130.25,21.1,26.0,13.0
3.0,94.0,74.0,24.0,94.1,,21.1,31.0,12.0
1.0,,67.0,22.0,76.0,33.9,,22.0,9.0
,94.0,74.0,28.0,99.7,41.9,24.5,29.0,10.0
3.0,93.0,76.0,26.0,,37.9,16.0,31.0,incons
3.0,104.0,81.0,28.0,,40.0,29.0,35.8,11.0
0.0,58.0,46.0,-85.5,23.3,8.6,5.1,8.0,7.0
0.0,55.0,41.0,14.0,18.8,,incons,6.5,5.0
incons,75.0,58.0,23.0,incons,18.6,13.2,17.7,10.0
1.0,100.0,75.0,28.0,120.8,48.4,28.3,35.8,15.0
1.0,88.0,71.0,23.0,83.0,incons,18.5,26.2,11.0
0.0,84.0,65.0,23.0,57.7,20.0,11.4,22.7,15.0
0.0,89.0,70.0,23.0,72.3,31.3,13.9,23.4,8.0
incons,76.0,58.0,21.0,51.4,19.8,10.2,17.0,10.0
,64.0,49.0,15.0,31.1,incons,7.6,incons,11.0
0.0,incons,-59.5,13.0,16.0,6.3,3.6,5.4,8.0
0.0,41.0,31.0,9.0,,3.4,1.1,3.1,7.0
1.0,-44.400000000000006,90.0,32.0,159.0,72.1,,46.0,12.0
3.0,111.0,85.0,36.0,175.0,73.9,40.1,51.0,-55.75
3.0,130.0,103.0,32.0,232.5,99.0,40.6,66.0,17.0
3.0,123.0,incons,31.0,197.7,82.9,39.0,69.0,-55.75
3.0,,88.0,33.0,91.65,,34.7,50.0,12.0
3.0,96.0,-59.5,24.0,102.8,41.5,26.2,31.0,13.0
,97.0,78.0,25.0,118.2,57.4,28.2,24.0,9.0
3.0,100.0,77.0,30.0,125.3,52.1,33.3,32.0,10.0
3.0,105.0,81.0,30.0,159.0,61.5,41.0,51.0,14.0
1.0,,100.0,33.0,238.1,91.7,59.6,74.0,12.0
1.0,132.0,170.5,168.5,265.2,103.8,52.5,88.0,13.0
3.0,104.0,80.0,29.0,,53.4,21.1,44.0,13.0
1.0,88.0,68.0,21.0,incons,29.6,16.1,,8.0
3.0,103.0,,incons,incons,54.1,35.8,34.0,13.0
1.0,95.0,incons,,90.4,34.3,18.4,31.0,11.0
1.0,109.0,83.0,30.0,146.7,55.9,32.6,43.7,11.0
1.0,incons,71.0,26.0,109.3,,25.2,37.0,14.0
incons,70.0,170.5,13.0,35.8,14.1,incons,12.0,10.0
3.0,97.0,71.0,26.0,116.2,-49.55000000000001,26.4,33.6,12.0
3.0,87.0,,25.0,incons,33.7,21.1,19.2,12.0
0.0,56.0,incons,16.0,21.7,8.2,5.3,6.9,7.0
1.0,99.20000000000002,64.0,23.0,77.4,33.0,20.1,19.7,11.0
3.0,90.0,incons,28.0,94.8,42.0,21.8,25.5,
3.0,90.0,69.0,27.0,,39.5,17.5,23.5,14.0
1.0,118.0,91.0,31.0,213.2,76.4,45.5,83.0,20.0
1.0,114.0,88.0,-85.5,190.7,75.7,40.2,61.0,17.0
3.0,122.0,95.0,30.0,193.3,82.9,40.0,69.0,10.0
1.0,122.0,95.0,28.0,226.6,105.5,47.1,70.0,11.0
incons,112.0,85.0,28.0,183.5,80.1,39.5,incons,
1.0,117.0,87.0,35.0,196.4,81.1,49.9,54.0,10.0
3.0,99.20000000000002,89.0,30.0,177.3,130.25,41.8,51.0,11.0
1.0,126.0,96.0,35.0,273.5,100.3,60.7,103.0,-55.75
1.0,125.0,98.0,35.0,246.6,111.3,incons,73.0,11.0
3.0,110.0,85.0,30.0,161.2,75.2,34.2,49.0,14.0
-63.0,,105.0,,292.7,132.3,68.7,87.0,19.0
3.0,92.0,71.0,-85.5,98.7,43.2,26.6,23.0,152.25
1.0,82.0,61.0,20.0,72.6,,13.0,22.0,11.0
3.0,99.0,78.0,25.0,incons,56.8,32.4,incons,11.0
3.0,104.0,170.5,34.0,136.1,56.0,,39.0,10.0
1.0,99.20000000000002,82.0,29.0,,61.9,38.1,50.0,13.0
incons,90.0,67.0,-85.5,92.5,32.8,incons,30.0,incons
1.0,81.0,incons,24.0,incons,27.6,11.6,19.0,13.0
3.0,102.0,80.0,-85.5,149.0,57.3,,47.0,13.0
1.0,74.0,58.0,23.0,50.0,22.2,11.4,15.0,9.0
incons,,-59.5,35.0,91.65,71.7,41.4,41.0,incons
155.0,132.0,incons,36.0,,105.2,59.5,84.0,
0.0,107.0,84.0,30.0,139.9,51.5,30.6,48.0,12.0
3.0,,91.0,36.0,170.5,60.3,36.5,60.0,13.0
-63.0,110.0,86.0,28.0,142.7,,37.2,45.0,9.0
incons,-44.400000000000006,94.0,28.0,91.65,67.7,40.2,64.0,13.0
3.0,incons,incons,29.0,210.8,73.8,45.1,,12.0
1.0,112.0,89.0,39.0,196.2,61.0,44.9,67.0,incons
3.0,-44.400000000000006,84.0,29.0,185.2,79.6,39.3,50.0,17.0
-63.0,77.0,63.0,22.0,57.2,24.5,12.7,16.7,10.0
1.0,78.0,60.0,20.0,53.0,21.5,12.0,194.375,13.0
3.0,94.0,69.0,incons,97.7,40.1,21.6,33.2,-55.75
3.0,103.0,78.0,28.0,91.65,40.0,22.7,44.7,12.0
3.0,85.0,69.0,25.0,85.0,-49.55000000000001,incons,30.8,13.0
0.0,69.0,incons,,39.0,15.6,9.1,11.8,9.0
,97.0,74.0,26.0,91.6,36.2,22.6,27.2,10.0
0.0,74.0,57.0,20.0,45.6,13.5,13.5,16.2,10.0
155.0,70.0,53.0,18.0,35.5,11.5,,13.6,12.0
155.0,88.0,69.0,34.0,81.7,30.0,16.5,30.3,incons
0.0,39.0,29.0,10.0,incons,2.0,1.6,2.4,4.0
incons,65.0,48.0,15.0,31.0,9.5,7.1,12.0,9.0
3.0,99.0,74.0,25.0,95.5,130.25,14.1,33.8,18.0
3.0,90.0,170.5,29.0,105.0,,20.0,33.1,15.0
0.0,83.0,69.0,27.0,-42.75000000000001,25.6,incons,29.6,152.25
1.0,94.0,71.0,28.0,86.6,30.5,19.0,30.4,12.0
0.0,64.0,48.0,17.0,34.0,13.1,9.4,9.8,7.0
155.0,62.0,,15.0,25.9,,6.7,8.8,9.0
0.0,47.0,34.0,11.0,10.3,3.6,2.1,3.9,7.0
0.0,-44.400000000000006,51.0,16.0,,12.0,8.5,10.8,10.0
,97.0,76.0,incons,134.6,43.5,26.0,incons,18.0
1.0,100.0,77.0,23.0,135.7,58.9,-54.750000000000014,39.0,12.0
1.0,100.0,incons,21.0,99.6,incons,incons,34.0,17.0
3.0,99.20000000000002,72.0,21.0,-42.75000000000001,42.8,23.2,28.0,15.0
-63.0,105.0,81.0,32.0,131.6,53.1,22.5,45.0,12.0
1.0,85.0,67.0,19.0,64.4,24.1,12.2,25.0,10.0
1.0,76.0,incons,19.0,56.3,25.1,10.5,18.0,8.0
incons,106.0,83.0,29.0,188.8,76.9,37.0,53.0,21.0
0.0,68.0,53.0,17.0,36.7,-49.55000000000001,incons,13.0,
incons,95.0,73.0,23.0,incons,,incons,26.7,9.0
1.0,86.0,68.0,24.0,78.2,31.1,19.0,28.1,7.0
0.0,92.0,73.0,25.0,93.4,37.9,18.9,31.6,10.0
155.0,94.0,72.0,26.0,104.5,39.6,21.3,33.0,incons
0.0,72.0,59.0,20.0,42.1,13.2,10.5,15.0,9.0
155.0,71.0,53.0,18.0,incons,-49.55000000000001,8.2,12.6,incons
0.0,76.0,47.0,20.0,51.6,21.1,10.8,16.0,7.0
0.0,71.0,52.0,17.0,incons,16.2,9.7,11.0,6.0
3.0,88.0,69.0,24.0,97.4,39.3,21.6,32.0,14.0
1.0,102.0,80.0,26.0,114.7,43.8,27.3,39.0,
incons,65.0,48.0,17.0,34.6,,7.6,,7.0
3.0,124.0,97.0,36.0,,93.5,53.1,78.0,13.0
155.0,118.0,90.0,32.0,180.0,71.6,31.2,63.0,19.0
0.0,66.0,51.0,incons,37.5,14.7,9.0,12.0,7.0
,90.0,68.0,26.0,74.3,32.1,15.9,21.0,9.0
3.0,89.0,66.0,24.0,91.65,24.0,incons,21.0,11.0
0.0,66.0,43.0,15.0,,9.0,incons,7.0,6.0
0.0,96.0,75.0,29.0,155.4,43.2,26.0,incons,9.0
3.0,99.20000000000002,incons,,incons,incons,21.0,31.0,11.0
1.0,95.0,72.0,25.0,incons,33.9,16.2,28.0,-55.75
0.0,51.0,36.0,-85.5,15.8,6.8,incons,5.0,5.0
3.0,67.0,49.0,18.0,33.3,11.9,8.0,12.0,6.0
3.0,94.0,70.0,26.0,93.2,36.9,19.8,29.0,
0.0,62.0,45.0,16.0,26.9,10.8,,10.0,7.0
1.0,74.0,56.0,22.0,46.1,18.9,9.3,15.0,-55.75
incons,59.0,43.0,incons,25.8,10.0,5.9,8.0,7.0
1.0,111.0,-59.5,33.0,194.0,67.2,46.3,59.0,17.0
1.0,99.20000000000002,,34.0,228.0,86.1,44.9,84.0,16.0
incons,116.0,98.0,39.0,263.3,106.1,50.8,82.0,18.0
1.0,117.0,95.0,37.0,,82.9,32.3,66.0,11.0
3.0,130.0,105.0,36.0,325.2,119.4,incons,106.0,18.0
3.0,107.0,90.0,incons,156.2,61.1,31.1,59.0,11.0
1.0,83.0,68.0,26.0,73.5,,17.7,24.0,10.0
1.0,76.0,,21.0,56.2,,12.3,,12.0
incons,90.0,71.0,incons,82.4,22.9,13.3,incons,19.0
1.0,79.0,59.0,19.0,44.9,15.6,10.8,16.0,10.0
0.0,91.0,70.0,24.0,-42.75000000000001,36.3,,32.0,11.0
1.0,97.0,76.0,,121.0,43.1,28.0,36.0,15.0
0.0,,85.0,31.0,183.5,55.5,48.6,67.0,13.0
1.0,90.0,70.0,29.0,108.5,35.3,24.6,35.0,13.0
