sex,length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,rings
0.0,117.0,98.0,37.0,234.2,104.4,50.7,67.0,
3.0,117.0,95.0,32.0,210.1,96.0,46.8,57.0,
0.0,117.0,incons,33.0,222.7,116.5,46.9,54.8,10.0
-63.0,117.0,94.0,33.0,281.8,160.0,45.8,59.0,10.0
0.0,117.0,95.0,30.0,213.0,106.3,incons,57.7,10.0
0.0,117.0,90.0,36.0,159.9,67.2,,47.4,8.0
3.0,118.0,89.0,27.0,154.3,65.6,-54.750000000000014,46.0,9.0
,118.0,94.0,-85.5,237.4,119.7,45.4,62.0,9.0
0.0,118.0,91.0,31.0,177.1,77.6,37.6,incons,10.0
1.0,-44.400000000000006,93.0,30.0,incons,82.3,39.2,45.1,10.0
1.0,119.0,93.0,31.0,205.2,92.9,22.4,61.0,152.25
0.0,120.0,,34.0,226.3,101.6,54.4,incons,10.0
0.0,120.0,96.0,168.5,,90.2,37.7,65.0,11.0
3.0,120.0,95.0,30.0,224.0,113.0,49.3,54.0,10.0
1.0,-44.400000000000006,93.0,,208.0,95.1,50.0,incons,11.0
1.0,incons,91.0,29.0,177.9,83.8,incons,53.8,
0.0,120.0,,31.0,191.9,89.1,37.8,-80.625,11.0
3.0,121.0,97.0,30.0,247.6,126.3,45.2,66.0,11.0
0.0,121.0,98.0,28.0,195.1,83.8,41.2,63.0,10.0
3.0,121.0,-59.5,26.0,180.5,86.4,34.8,52.0,11.0
1.0,121.0,95.0,168.5,215.2,92.6,43.9,67.0,
1.0,121.0,94.0,,incons,108.1,44.3,55.0,
0.0,122.0,90.0,30.0,174.2,81.4,36.7,50.0,10.0
incons,122.0,96.0,33.0,incons,126.9,51.4,61.0,12.0
0.0,122.0,95.0,34.0,205.3,87.0,46.7,60.7,10.0
3.0,122.0,93.0,168.5,192.1,89.9,34.5,57.2,9.0
0.0,122.0,96.0,34.0,227.4,91.3,58.0,,10.0
0.0,122.0,92.0,32.0,200.0,98.8,39.4,incons,10.0
1.0,123.0,95.0,,200.8,89.5,38.6,57.9,10.0
0.0,123.0,94.0,33.0,225.6,89.3,43.9,incons,10.0
0.0,123.0,-59.5,168.5,210.8,96.9,45.6,59.0,10.0
1.0,123.0,95.0,33.0,204.6,98.1,39.1,60.7,12.0
0.0,123.0,95.0,34.0,225.8,95.9,60.4,60.0,10.0
0.0,,96.0,35.0,223.6,89.2,63.9,60.0,9.0
1.0,123.0,95.0,31.0,,96.8,,71.0,incons
0.0,incons,102.0,35.0,256.3,114.3,47.7,78.0,10.0
0.0,124.0,99.0,36.0,251.1,115.3,50.8,71.0,12.0
1.0,124.0,100.0,30.0,258.6,119.2,,,10.0
1.0,124.0,incons,32.0,,92.6,53.7,66.0,10.0
0.0,125.0,91.0,34.0,216.4,99.1,46.9,,9.0
1.0,125.0,101.0,35.0,230.0,109.5,51.2,60.9,11.0
1.0,125.0,103.0,32.0,252.8,114.3,65.2,194.375,
1.0,incons,96.0,31.0,-42.75000000000001,117.3,47.8,63.7,
1.0,126.0,97.0,34.0,264.1,118.9,69.0,69.0,9.0
3.0,126.0,101.0,36.0,254.4,120.5,59.0,63.0,11.0
0.0,126.0,97.0,29.0,212.4,101.3,35.7,incons,12.0
3.0,126.0,95.0,29.0,212.1,,43.9,56.0,10.0
,126.0,99.0,32.0,218.6,99.4,44.2,63.0,12.0
0.0,127.0,98.0,incons,220.2,106.8,37.3,69.1,10.0
1.0,127.0,,incons,291.9,141.0,52.9,78.0,9.0
1.0,127.0,99.0,35.0,,141.4,54.5,,9.0
0.0,127.0,95.0,34.0,238.7,104.1,,73.3,10.0
0.0,127.0,102.0,31.0,197.2,81.0,45.1,62.0,10.0
0.0,128.0,113.0,46.0,304.2,128.8,74.4,81.2,incons
0.0,128.0,incons,36.0,,97.3,59.9,-80.625,10.0
0.0,99.20000000000002,incons,32.0,236.7,111.2,47.7,-80.625,
incons,129.0,100.0,-53.500000000000014,280.2,123.3,70.3,74.5,10.0
incons,129.0,105.0,32.0,301.5,,49.0,86.5,11.0
1.0,130.0,incons,33.0,232.0,95.7,54.8,69.8,11.0
1.0,130.0,118.0,44.0,332.4,154.0,75.6,87.0,11.0
0.0,130.0,105.0,35.0,307.3,137.3,,81.0,11.0
0.0,130.0,102.0,38.0,308.4,143.1,74.7,75.0,9.0
1.0,130.0,102.0,34.0,313.4,144.9,69.8,78.2,10.0
1.0,131.0,105.0,38.0,271.9,112.8,64.3,79.7,10.0
incons,131.0,107.0,,328.9,146.1,71.9,92.0,13.0
1.0,incons,104.0,38.0,290.9,120.0,77.3,76.6,10.0
0.0,131.0,98.0,35.0,271.7,127.9,58.8,73.0,10.0
1.0,132.0,,42.0,309.6,144.8,70.5,,10.0
1.0,132.0,103.0,34.0,267.4,123.0,62.5,incons,10.0
1.0,133.0,106.0,incons,298.2,126.9,68.4,87.0,10.0
,134.0,,45.0,312.3,,97.4,74.5,incons
incons,134.0,101.0,35.0,202.9,-49.55000000000001,54.2,74.9,10.0
0.0,135.0,109.0,37.0,347.5,incons,62.7,93.8,13.0
0.0,137.0,109.0,41.0,358.5,,83.2,92.2,9.0
1.0,139.0,113.0,38.0,352.7,149.3,79.8,99.5,11.0
1.0,140.0,109.0,26.0,311.2,134.5,74.8,39.0,12.0
,141.0,113.0,103.0,442.0,221.5,97.3,102.4,10.0
0.0,141.0,111.0,43.0,428.2,209.3,76.6,105.6,11.0
1.0,141.0,114.0,36.0,306.9,192.0,83.9,86.0,12.0
1.0,142.0,110.0,34.0,322.8,148.6,69.0,90.0,-55.75
1.0,incons,115.0,34.0,386.7,182.6,77.8,102.0,13.0
incons,144.0,115.0,43.0,434.6,,112.8,107.3,12.0
1.0,145.0,120.0,40.0,347.4,139.4,71.7,119.0,11.0
1.0,146.0,116.0,38.0,incons,135.7,,104.0,152.25
incons,147.0,113.0,41.0,425.5,189.8,92.0,113.0,
1.0,149.0,114.0,43.0,450.0,231.3,incons,111.6,9.0
1.0,150.0,122.0,47.0,501.7,246.4,103.8,194.375,14.0
,163.0,130.0,incons,451.0,,84.0,159.5,14.0
3.0,28.0,21.0,7.0,2.8,1.1,0.5,0.8,3.0
3.0,46.0,33.0,12.0,10.3,3.8,2.9,7.2,4.0
155.0,73.0,53.0,27.0,44.3,21.0,9.4,-80.625,7.0
3.0,73.0,51.0,16.0,incons,15.7,6.9,10.6,5.0
3.0,74.0,54.0,19.0,46.4,26.5,8.2,12.3,6.0
incons,75.0,56.0,17.0,63.1,incons,9.2,13.4,7.0
3.0,77.0,incons,18.0,49.4,24.5,8.8,13.5,5.0
3.0,79.0,59.0,18.0,60.5,28.6,13.3,194.375,incons
3.0,80.0,58.0,,65.8,incons,9.1,16.5,6.0
3.0,80.0,170.5,18.0,56.3,23.7,12.2,16.0,7.0
3.0,81.0,62.0,19.0,68.5,35.7,12.8,17.1,8.0
3.0,81.0,58.0,18.0,56.5,22.4,15.0,16.3,7.0
3.0,81.0,60.0,-85.5,60.8,incons,12.2,16.1,6.0
3.0,82.0,64.0,,58.1,130.25,incons,incons,incons
0.0,incons,63.0,23.0,77.9,40.3,13.0,20.6,9.0
3.0,85.0,-59.5,,77.8,40.3,18.1,17.6,6.0
3.0,86.0,68.0,21.0,88.1,47.7,14.9,21.5,6.0
3.0,88.0,68.0,21.0,73.8,32.8,16.0,20.3,-55.75
0.0,88.0,64.0,24.0,91.3,incons,18.4,20.5,8.0
3.0,88.0,73.0,22.0,89.3,,incons,22.7,9.0
0.0,90.0,67.0,25.0,89.5,43.3,25.2,22.0,
3.0,91.0,67.0,27.0,100.2,54.8,,21.3,7.0
3.0,92.0,71.0,22.0,87.2,39.5,19.2,25.0,8.0
3.0,94.0,69.0,28.0,92.3,45.8,22.1,23.2,9.0
3.0,94.0,70.0,25.0,86.3,38.0,23.3,23.5,6.0
3.0,94.0,71.0,24.0,73.7,25.2,16.7,27.3,6.0
incons,95.0,170.5,25.0,129.8,69.4,166.05,28.4,8.0
3.0,95.0,73.0,incons,91.65,,18.6,23.3,7.0
1.0,95.0,73.0,23.0,113.2,56.2,,26.7,7.0
3.0,99.20000000000002,72.0,25.0,108.4,55.9,,29.4,7.0
3.0,97.0,76.0,24.0,94.5,41.5,21.5,29.4,6.0
incons,97.0,78.0,17.0,128.7,58.9,20.6,-80.625,8.0
0.0,97.0,74.0,26.0,105.2,49.7,,31.1,6.0
1.0,99.0,76.0,24.0,114.6,53.1,25.7,incons,7.0
0.0,101.0,77.0,incons,110.5,47.8,24.9,31.1,9.0
1.0,101.0,-59.5,27.0,137.1,72.2,31.3,-80.625,9.0
3.0,,79.0,25.0,111.2,53.9,19.2,34.0,8.0
0.0,103.0,85.0,29.0,187.3,99.4,36.2,,8.0
3.0,103.0,80.0,,112.5,50.0,24.9,34.0,7.0
0.0,104.0,80.0,25.0,111.8,50.8,27.8,29.8,8.0
155.0,105.0,80.0,28.0,144.1,73.7,incons,34.7,8.0
3.0,,86.0,26.0,140.9,69.2,28.3,37.8,9.0
0.0,106.0,80.0,25.0,151.5,130.25,30.2,35.0,-55.75
1.0,109.0,82.0,28.0,148.1,71.3,35.5,incons,9.0
incons,110.0,86.0,28.0,168.0,75.0,43.6,38.9,8.0
0.0,110.0,85.0,32.0,91.65,68.6,40.7,43.0,9.0
1.0,112.0,86.0,30.0,174.9,90.6,-54.750000000000014,194.375,8.0
1.0,112.0,87.0,30.0,174.3,95.1,36.7,36.7,9.0
0.0,114.0,89.0,30.0,197.5,100.8,41.4,49.8,8.0
0.0,115.0,93.0,30.0,incons,119.0,41.3,incons,9.0
,115.0,92.0,33.0,183.1,80.1,49.3,47.7,8.0
1.0,116.0,92.0,35.0,233.0,130.0,44.1,61.1,9.0
1.0,116.0,87.0,28.0,190.6,95.0,43.3,incons,9.0
,117.0,91.0,incons,181.2,-49.55000000000001,46.0,46.7,8.0
0.0,118.0,88.0,30.0,174.5,77.4,43.0,49.0,8.0
1.0,,,30.0,230.2,122.6,47.8,50.3,9.0
incons,118.0,92.0,29.0,198.1,90.6,44.1,55.0,8.0
1.0,99.20000000000002,incons,32.0,208.0,90.4,53.1,,9.0
incons,120.0,91.0,31.0,189.0,87.3,41.7,50.0,8.0
0.0,120.0,93.0,40.0,251.8,128.1,39.7,71.4,9.0
incons,121.0,97.0,incons,190.3,90.7,-54.750000000000014,55.3,11.0
1.0,121.0,97.0,32.0,240.2,83.4,57.5,76.0,9.0
1.0,121.0,103.0,34.0,257.8,120.0,58.9,66.3,9.0
1.0,122.0,97.0,34.0,220.1,,incons,61.0,11.0
3.0,123.0,95.0,-85.5,168.5,70.6,38.3,50.2,incons
0.0,124.0,incons,31.0,209.8,92.4,46.2,50.0,-55.75
1.0,124.0,87.0,31.0,91.65,-49.55000000000001,,55.0,8.0
0.0,124.0,96.0,33.0,214.5,96.3,47.0,62.4,9.0
0.0,125.0,104.0,35.0,282.1,138.2,64.4,69.3,
0.0,125.0,94.0,36.0,227.2,incons,64.9,61.0,
0.0,126.0,94.0,29.0,220.1,104.0,52.0,55.2,9.0
1.0,126.0,100.0,35.0,222.1,93.4,53.6,65.8,10.0
incons,126.0,91.0,30.0,226.3,96.2,54.9,61.0,9.0
0.0,126.0,96.0,30.0,254.2,132.1,48.5,62.0,11.0
1.0,126.0,98.0,45.0,267.2,136.1,51.8,64.9,10.0
1.0,127.0,101.0,29.0,226.9,101.0,53.1,63.0,10.0
0.0,127.0,102.0,37.0,261.6,108.8,63.6,75.4,8.0
1.0,128.0,103.0,41.0,306.7,132.7,66.9,80.5,9.0
1.0,129.0,103.0,35.0,309.2,140.7,73.0,83.0,10.0
0.0,129.0,102.0,31.0,incons,128.1,71.7,86.0,11.0
1.0,129.0,101.0,33.0,263.6,110.0,60.3,67.0,11.0
1.0,130.0,109.0,35.0,incons,118.0,65.2,99.0,10.0
0.0,130.0,103.0,35.0,,135.4,60.9,80.0,10.0
1.0,130.0,100.0,32.0,276.5,140.4,60.8,63.9,152.25
0.0,99.20000000000002,97.0,28.0,235.0,95.0,48.7,43.0,-55.75
1.0,131.0,108.0,43.0,311.1,139.0,59.2,88.8,152.25
0.0,99.20000000000002,102.0,43.0,356.7,177.7,81.9,194.375,incons
0.0,132.0,incons,33.0,274.8,117.8,70.2,,
1.0,133.0,,36.0,277.8,-49.55000000000001,64.8,79.0,10.0
0.0,134.0,109.0,40.0,,166.6,74.8,incons,11.0
0.0,134.0,102.0,168.5,305.3,130.2,89.5,69.0,10.0
-63.0,134.0,100.0,38.0,303.8,123.2,77.6,83.0,10.0
1.0,136.0,100.0,37.0,348.2,153.3,65.1,93.7,12.0
,136.0,103.0,34.0,322.3,168.3,61.2,79.0,11.0
0.0,138.0,105.0,40.0,-42.75000000000001,183.3,66.5,92.2,12.0
1.0,140.0,110.0,34.0,336.8,150.7,65.3,64.0,incons
0.0,140.0,111.0,40.0,371.6,146.0,73.3,119.0,11.0
0.0,141.0,112.0,33.0,335.0,159.4,81.9,77.6,10.0
0.0,144.0,113.0,,421.1,203.4,72.6,98.8,-55.75
0.0,145.0,115.0,48.0,442.0,270.2,incons,100.3,incons
,-44.400000000000006,114.0,36.0,374.5,182.3,85.4,194.375,10.0
0.0,150.0,110.0,36.0,378.6,188.4,79.4,89.0,11.0
3.0,-44.400000000000006,34.0,9.0,91.65,3.8,2.2,2.6,
3.0,99.20000000000002,42.0,11.0,20.2,8.3,3.4,6.7,5.0
3.0,incons,43.0,14.0,24.2,9.4,3.1,incons,6.0
155.0,60.0,46.0,17.0,incons,10.0,3.5,8.3,6.0
3.0,61.0,45.0,18.0,29.3,12.6,6.8,8.3,6.0
3.0,99.20000000000002,51.0,16.0,33.6,15.8,7.1,10.0,5.0
incons,70.0,52.0,,91.65,18.0,4.9,,5.0
,71.0,54.0,15.0,35.5,15.8,6.3,10.8,6.0
3.0,71.0,52.0,18.0,39.7,14.3,,11.6,7.0
3.0,72.0,54.0,19.0,40.0,14.6,11.2,12.2,8.0
3.0,72.0,55.0,15.0,,19.7,8.8,13.2,7.0
3.0,72.0,53.0,15.0,36.9,16.6,7.3,11.0,7.0
3.0,73.0,54.0,incons,44.5,18.7,10.5,13.2,7.0
3.0,74.0,54.0,19.0,,19.4,,13.0,152.25
3.0,-44.400000000000006,,16.0,91.65,130.25,18.5,14.0,7.0
3.0,76.0,57.0,19.0,48.6,17.9,13.3,15.0,7.0
3.0,76.0,58.0,20.0,47.4,21.6,7.9,16.4,6.0
3.0,77.0,,18.0,47.3,20.0,10.1,15.2,8.0
3.0,77.0,56.0,19.0,51.4,23.8,11.8,14.0,7.0
3.0,77.0,incons,18.0,61.6,30.5,11.2,16.7,8.0
3.0,78.0,-59.5,18.0,50.4,21.3,10.6,16.0,7.0
3.0,78.0,57.0,20.0,56.2,incons,12.4,15.4,7.0
3.0,78.0,58.0,20.0,44.5,19.0,166.05,14.6,incons
3.0,82.0,-59.5,,60.8,25.8,,19.1,8.0
3.0,82.0,60.0,18.0,56.0,28.2,11.5,15.0,8.0
3.0,83.0,65.0,20.0,62.6,27.8,12.5,19.3,7.0
3.0,85.0,65.0,22.0,63.4,27.0,9.6,18.0,8.0
3.0,85.0,170.5,16.0,60.6,26.2,11.7,19.0,7.0
3.0,87.0,67.0,20.0,,130.25,incons,22.0,7.0
3.0,87.0,65.0,22.0,73.4,31.9,16.0,21.0,6.0
3.0,90.0,68.0,-85.5,64.9,27.7,12.8,21.0,8.0
3.0,90.0,67.0,22.0,83.9,36.2,17.0,26.9,7.0
incons,incons,72.0,,91.4,41.7,17.1,29.4,10.0
3.0,-44.400000000000006,70.0,22.0,80.0,35.2,16.6,24.1,7.0
3.0,92.0,incons,22.0,85.1,40.3,16.2,,
3.0,93.0,74.0,24.0,87.3,37.6,16.3,29.4,9.0
incons,93.0,69.0,22.0,78.6,36.5,14.7,24.0,8.0
3.0,,71.0,25.0,99.8,42.0,19.7,31.0,8.0
3.0,,,29.0,,,27.4,38.0,8.0
0.0,95.0,72.0,-85.5,85.7,39.3,19.8,22.4,7.0
incons,95.0,72.0,25.0,98.1,41.0,26.1,,
155.0,96.0,170.5,25.0,94.8,35.8,-54.750000000000014,35.0,9.0
3.0,96.0,74.0,24.0,107.2,50.2,22.8,30.0,incons
0.0,96.0,71.0,incons,92.8,44.2,21.2,,8.0
155.0,97.0,75.0,168.5,120.5,58.7,25.7,32.0,7.0
incons,98.0,75.0,-85.5,92.3,40.8,18.9,28.6,8.0
incons,98.0,incons,27.0,124.8,60.7,25.7,33.8,8.0
3.0,99.0,74.0,incons,94.3,41.5,18.2,30.0,8.0
3.0,99.0,80.0,21.0,120.4,50.1,25.3,38.0,8.0
3.0,100.0,80.0,24.0,123.2,52.2,28.6,,8.0
3.0,100.0,78.0,24.0,119.1,49.1,29.4,34.6,8.0
3.0,100.0,75.0,28.0,111.8,47.5,27.0,33.8,9.0
3.0,102.0,incons,26.0,-42.75000000000001,56.2,28.6,32.4,7.0
155.0,99.20000000000002,75.0,22.0,121.3,,26.2,30.0,152.25
3.0,103.0,72.0,25.0,94.5,36.3,25.0,27.6,9.0
3.0,103.0,170.5,21.0,94.9,42.6,24.6,25.5,10.0
3.0,103.0,79.0,25.0,132.7,64.0,28.0,34.0,8.0
3.0,103.0,78.0,25.0,114.1,47.6,-54.750000000000014,37.0,8.0
incons,-44.400000000000006,,29.0,incons,59.3,31.9,incons,9.0
-63.0,104.0,78.0,26.0,110.9,47.1,incons,37.9,7.0
0.0,105.0,83.0,29.0,169.0,70.5,32.7,,8.0
3.0,105.0,78.0,24.0,132.8,62.3,29.4,35.6,9.0
3.0,105.0,76.0,27.0,123.0,52.2,31.8,35.0,8.0
3.0,,80.0,28.0,130.8,61.0,,33.8,7.0
0.0,,80.0,31.0,141.4,56.4,32.1,incons,9.0
3.0,106.0,84.0,24.0,119.3,,28.2,35.4,7.0
3.0,106.0,86.0,27.0,125.1,49.0,29.1,42.7,10.0
3.0,106.0,80.0,29.0,-42.75000000000001,130.25,26.1,39.0,incons
3.0,106.0,84.0,26.0,167.3,74.9,33.4,49.8,11.0
3.0,107.0,,26.0,131.4,56.7,32.4,35.0,7.0
3.0,108.0,86.0,34.0,167.2,74.5,36.3,48.0,9.0
3.0,108.0,85.0,28.0,148.4,-49.55000000000001,27.9,50.0,
155.0,108.0,86.0,28.0,163.9,78.7,166.05,45.9,9.0
0.0,108.0,91.0,28.0,194.4,83.8,51.0,53.8,10.0
3.0,108.0,84.0,28.0,125.5,,23.5,47.0,152.25
3.0,108.0,85.0,26.0,144.1,59.1,33.8,45.0,10.0
3.0,,85.0,27.0,137.2,69.5,30.9,42.6,8.0
3.0,109.0,80.0,26.0,137.2,65.7,-54.750000000000014,36.0,9.0
3.0,109.0,,24.0,108.6,,23.1,194.375,8.0
3.0,109.0,84.0,25.0,143.4,71.6,22.4,44.0,8.0
0.0,110.0,incons,28.0,152.5,65.4,33.7,51.8,-55.75
3.0,-44.400000000000006,85.0,168.5,127.8,53.8,,43.4,9.0
3.0,110.0,84.0,,163.2,79.9,29.7,46.0,12.0
3.0,110.0,83.0,incons,156.3,74.6,32.0,44.3,8.0
3.0,,85.0,30.0,153.3,-49.55000000000001,35.2,42.0,152.25
3.0,111.0,79.0,26.0,111.7,44.4,24.9,194.375,9.0
3.0,111.0,87.0,28.0,153.0,78.9,30.0,41.2,8.0
3.0,111.0,92.0,29.0,180.1,76.9,31.6,55.3,11.0
3.0,112.0,89.0,30.0,164.5,73.7,37.4,47.2,10.0
3.0,112.0,88.0,26.0,144.7,69.8,29.8,40.0,8.0
0.0,incons,85.0,27.0,169.8,65.3,44.2,52.9,10.0
3.0,incons,84.0,incons,,incons,37.2,46.2,9.0
1.0,113.0,88.0,30.0,172.6,87.0,29.8,54.0,9.0
0.0,113.0,88.0,25.0,160.4,71.9,incons,43.0,9.0
0.0,113.0,86.0,30.0,166.2,84.9,34.7,43.8,10.0
1.0,114.0,90.0,27.0,156.1,66.9,166.05,42.0,8.0
0.0,114.0,90.0,28.0,159.0,67.7,29.6,49.0,incons
3.0,99.20000000000002,87.0,34.0,169.6,80.0,33.2,50.0,9.0
3.0,114.0,86.0,29.0,166.6,70.8,28.8,56.3,10.0
3.0,114.0,incons,31.0,173.4,74.1,34.1,56.0,9.0
3.0,114.0,,29.0,148.1,61.2,34.4,36.5,12.0
0.0,115.0,91.0,33.0,173.4,75.3,36.1,53.6,8.0
-63.0,115.0,85.0,27.0,159.3,,39.2,47.8,10.0
1.0,115.0,94.0,31.0,223.2,101.8,47.6,68.0,10.0
3.0,115.0,90.0,,156.0,65.5,37.6,47.0,9.0
0.0,115.0,94.0,37.0,,74.9,43.5,71.0,10.0
-63.0,-44.400000000000006,93.0,39.0,199.3,incons,49.4,94.0,8.0
3.0,,89.0,34.0,160.3,69.5,29.3,50.0,9.0
incons,115.0,90.0,27.0,161.4,72.3,35.2,50.8,10.0
1.0,115.0,87.0,30.0,91.65,92.1,43.6,72.0,8.0
0.0,incons,89.0,incons,-42.75000000000001,80.1,39.6,47.8,9.0
0.0,115.0,88.0,-85.5,192.3,96.6,33.2,55.0,
1.0,116.0,87.0,30.0,166.8,85.6,30.3,46.0,incons
0.0,116.0,92.0,incons,206.7,93.8,44.5,59.0,
0.0,,86.0,,159.6,73.0,34.6,45.7,10.0
3.0,116.0,89.0,25.0,141.9,60.6,28.1,incons,9.0
1.0,117.0,89.0,28.0,-42.75000000000001,86.1,44.1,50.6,10.0
0.0,118.0,98.0,33.0,241.4,111.8,47.0,61.8,10.0
3.0,118.0,90.0,29.0,204.4,85.6,53.6,53.0,10.0
3.0,118.0,92.0,29.0,180.3,83.8,35.7,52.0,11.0
1.0,119.0,87.0,30.0,180.0,83.5,-54.750000000000014,53.0,8.0
0.0,119.0,90.0,28.0,167.6,79.3,38.8,-80.625,incons
0.0,119.0,,29.0,191.8,92.6,41.3,50.7,10.0
3.0,119.0,92.0,30.0,166.7,75.4,38.5,47.0,8.0
1.0,99.20000000000002,170.5,31.0,194.7,85.4,40.9,60.0,8.0
1.0,120.0,95.0,30.0,226.0,115.0,39.2,61.0,-55.75
incons,120.0,96.0,33.0,183.3,82.7,39.3,-80.625,9.0
3.0,,96.0,34.0,183.5,76.0,44.5,194.375,8.0
1.0,120.0,96.0,36.0,212.9,89.9,49.1,65.0,10.0
,120.0,94.0,33.0,211.8,130.25,48.2,55.0,9.0
0.0,120.0,94.0,,238.8,112.5,60.9,52.7,10.0
1.0,incons,91.0,29.0,195.5,93.6,35.5,55.0,9.0
0.0,121.0,95.0,29.0,176.8,76.7,38.1,54.0,8.0
3.0,121.0,94.0,29.0,160.5,75.8,45.3,44.0,
1.0,121.0,96.0,28.0,198.2,94.7,46.9,48.0,8.0
1.0,121.0,94.0,31.0,194.8,78.6,44.8,incons,9.0
1.0,121.0,101.0,36.0,286.8,145.7,,86.2,11.0
0.0,122.0,95.0,31.0,196.6,91.3,45.6,53.2,10.0
1.0,122.0,93.0,32.0,214.5,96.7,50.3,56.0,10.0
1.0,122.0,97.0,,248.1,120.5,58.3,61.7,12.0
0.0,122.0,94.0,32.0,204.4,89.8,46.9,58.9,9.0
1.0,122.0,95.0,32.0,223.1,130.25,44.6,75.8,10.0
